起点     -  终点     交通工具 车次 出发时刻（时） 到达时刻（时） 用时（时） 费用（元） 距离（千米）
郑州     -  北京     火车     V202    11             17           6           251        695

北京     -  郑州     火车     V203    22              4           6           251        695
郑州     -  武汉     火车     V203     5              9           4           205        514
武汉     -  长沙     火车     V203    10             12           2           152        413
长沙     -  深圳     火车     V203    13             19           6           304        864

深圳     -  长沙     火车     V204    10             16           6           304        864
长沙     -  武汉     火车     V204    17             19           2           152        413
武汉     -  郑州     火车     V204    20              0           4           205        514
郑州     -  北京     火车     V204     1              7           6           251        695

北京     -  西安     火车     V301    20              7          11           398       1159
西安     -  成都     火车     V301     8             18          10           345        842
成都     -  重庆     火车     V301    19             22           3           116        504
重庆     -  昆明     火车     V301    23             15          16           471       1331

昆明     -  重庆     火车     V302    15              7          16           471       1331
重庆     -  成都     火车     V302     8             11           3           116        504
成都     -  西安     火车     V302    12             22          10           345        842
西安     -  北京     火车     V302    23             10          11           398       1159

北京     -  西安     火车     V303    12             23          11           398       1159
西安     -  成都     火车     V303     0             10          10           345        842
成都     -  重庆     火车     V303    11             14           3           116        504
重庆     -  昆明     火车     V303    15              7          16           471       1331

昆明     -  重庆     火车     V304    21             13          16           471       1331
重庆     -  成都     火车     V304    14             17           3           116        504
成都     -  西安     火车     V304    18              4          10           345        842
西安     -  北京     火车     V304     5             16          11           398       1159

呼和浩特 -  兰州     火车     V401    11	     21		 10 	      404	1144
兰州     -  拉萨     火车     V401    22             20          22           557       2188

拉萨     -  兰州     火车     V402    15	     13		 22           557       2188
兰州     -  呼和浩特 火车     V402    14              0          10 	      404	1144

呼和浩特 -  兰州     火车     V403    19	      5		 10 	      404	1144
兰州     -  拉萨     火车     V403     6              4          22           557       2188

拉萨     -  兰州     火车     V404    22	     20		 22           557       2188
兰州     -  呼和浩特 火车     V404    21              7          10 	      404	1144


大连     -  青岛     飞机     F101     5              6             1          740        973
青岛     -  上海     飞机     F101     7              9             2          712        800
上海     -  台北     飞机     F101    10             11             1          612        685

台北     -  上海     飞机     F102    12             13             1          612        685
上海     -  青岛     飞机     F102    14             16             2          712        800
青岛     -  大连     飞机     F102    17             18             1          740        973

大连     -  青岛     飞机     F103    15             16             1          740        973
青岛     -  上海     飞机     F103    17             19             2          712        800
上海     -  台北     飞机     F103    20             21             1          612        685

台北     -  上海     飞机     F104    18             19             1          612        685
上海     -  青岛     飞机     F104    20             22             2          712        800
青岛     -  大连     飞机     F104    22             23             1          740        973

北京     -  武汉     飞机     F201    11             14             3          923        1200
武汉     -  深圳     飞机     F201    15             18             3          937        1196

深圳     -  武汉     飞机     F202    14             17             3          937        1196
武汉     -  北京     飞机     F202    18             21             3          923        1200


北京     -  武汉     飞机     F203    17             20             3          923        1200
武汉     -  深圳     飞机     F203    21              0             3          937        1196

深圳     -  武汉     飞机     F204    23              2             3          937        1196
武汉     -  北京     飞机     F204     3              6             3          923        1200

兰州     -  成都     飞机     F301     8             11             3          913        1172
成都     -  昆明     飞机     F301    12             14             2          879        1100

昆明     -  成都     飞机     F302    15             17             2          879        1100
成都     -  兰州     飞机     F302    18             21             3          913        1172

兰州     -  成都     飞机     F303    13             16             3          913        1172
成都     -  昆明     飞机     F303    17             19             2          879        1100

昆明     -  成都     飞机     F304     4              6             2          879        1100
成都     -  兰州     飞机     F304     7             10             3          913        1172

北京     -  西安     飞机     F401     7             10             3          913        1159
西安     -  重庆     飞机     F401    11             13             2          612         790
重庆     -  昆明     飞机     F401    14             17             3          997        1237

昆明     -  重庆     飞机     F402    10             13             3          997        1237
重庆     -  西安     飞机     F402    14             16             2          612         790
西安     -  北京     飞机     F402    17             20             3          913        1159

北京     -  西安     飞机     F403    11             14             3          913        1159
西安     -  重庆     飞机     F403    15             17             2          612         790
重庆     -  昆明     飞机     F403    18             21             3          997        1237

昆明     -  重庆     飞机     F404    16             19             3          997        1237
重庆     -  西安     飞机     F404    20             22             2          612         790
西安     -  北京     飞机     F404    23              2             3          913        1159

北京     -  郑州     飞机     F501     6              7             1          503         695
郑州     -  长沙     飞机     F501     8             10             2          661         898
长沙     -  深圳     飞机     F501    11             13             2          554         864

深圳     -  长沙     飞机     F502    11             13             2          554         864
长沙     -  郑州     飞机     F502    14             16             2          661         898
郑州     -  北京     飞机     F502    17             18             1          503         695

北京     -  郑州     飞机     F503    12             13             1          503         695
郑州     -  长沙     飞机     F503    14             16             2          661         898
长沙     -  深圳     飞机     F503    17             19             2          554         864

深圳     -  长沙     飞机     F504    15             17             2          554         864
长沙     -  郑州     飞机     F504    18             20             2          661         898
郑州     -  北京     飞机     F504    21             22             1          503         695

大连     -  呼和浩特 飞机     F111     7             10             3         1123        1470
呼和浩特 -  兰州     飞机     F111    11             14             3          997        1144
兰州     -  乌鲁木齐 飞机     F111    15             18             3         1213        1892

乌鲁木齐 -  兰州     飞机     F112    13             16             3         1213        1892
兰州     -  呼和浩特 飞机     F112    17             20             3          997        1144
呼和浩特 -  大连     飞机     F112    21              0             3         1123        1470

大连     -  呼和浩特 飞机     F113    14             17             3         1123        1470
呼和浩特 -  兰州     飞机     F113    18             21             3          997        1144
兰州     -  乌鲁木齐 飞机     F113    22              1             3         1213        1892

乌鲁木齐 -  兰州     飞机     F114    19             22             3         1213        1892
兰州     -  呼和浩特 飞机     F114    23              2             3          997        1144
呼和浩特 -  大连     飞机     F114     3              6             3         1123        1470

乌鲁木齐 -  成都     飞机     F211    10             14             4         2071        2826
成都     -  深圳     飞机     F211    15             18             3         1523        2157

深圳     -  成都     飞机     F212    15             18             3         1523        2157
成都     -  乌鲁木齐 飞机     F212    19             23             4         2071        2826

乌鲁木齐 -  成都     飞机     F213    18             22             4         2071        2826
成都     -  深圳     飞机     F213    23              2             3         1523        2157

深圳     -  成都     飞机     F214     6              9             3         1523        2157
成都     -  乌鲁木齐 飞机     F214    10             14             4         2071        2826

拉萨     -  成都     飞机     F311     8             11             3         1573        2075
成都     -  深圳     飞机     F311    12             15             3         1523        2157

深圳     -  成都     飞机     F312    13             16             3         1523        2157
成都     -  拉萨     飞机     F312    17             20             3         1573        2057

拉萨     -  成都     飞机     F313    10             13             3         1573        2075
成都     -  深圳     飞机     F313    14             17             3         1523        2157

深圳     -  成都     飞机     F314     6              9             3         1523        2157
成都     -  拉萨     飞机     F314    10             13             3         1573        2057

深圳     -  台北     飞机     F411     9             11             2          783         815
台北     -  深圳     飞机     F412    15             17             2          783         815

深圳     -  台北     飞机     F413    15             17             2          783         815
台北     -  深圳     飞机     F414    20             22             2          783         815

深圳     -  上海     飞机     F511    10             13             3         1124        1680
上海     -  深圳     飞机     F512    15             18             3         1124        1680

深圳     -  上海     飞机     F513    16             19             3         1124        1680
上海     -  深圳     飞机     F514     4              7             3         1124        1680

北京     -  郑州     汽车     C101     12            19             7         461       695
郑州     -  武汉     汽车     C101     19             1             6         381       514
武汉     -  长沙     汽车     C101      1             6             5         217       413
长沙     -  深圳     汽车     C101      6            14             8         472       864

深圳     -  长沙     汽车     C102     12            20             8         472       864
长沙     -  武汉     汽车     C102     20             1             5         217       413
武汉     -  郑州     汽车     C102      1             7             6         381       514
郑州     -  北京     汽车     C102      7            14             7         461       695

北京     -  郑州     汽车     C103     18             1             7         461       695
郑州     -  武汉     汽车     C103      1             7             6         381       514
武汉     -  长沙     汽车     C103      7            12             5         217       413
长沙     -  深圳     汽车     C103     12            20             8         472       864

深圳     -  长沙     汽车     C104     18             2             8         472       864
长沙     -  武汉     汽车     C104      2             7             5         217       413
武汉     -  郑州     汽车     C104      7            13             6         381       514
郑州     -  北京     汽车     C104     13            20             7         461       695

兰州     -  西安     汽车     C201     12            19             7         471       676
西安     -  重庆     汽车     C201     19             2             7         490       716

重庆     -  西安     汽车     C202     12            19             7         490       716
西安     -  兰州     汽车     C202     19             2             7         471       676

兰州     -  西安     汽车     C203     18             1             7         471       676
西安     -  重庆     汽车     C203      1             8             7         490       716

重庆     -  西安     汽车     C204     18             1             7         490       716
西安     -  兰州     汽车     C204      1             8             7         471       676

成都     -  重庆     汽车     C301     13            18             5         351       504
重庆     -  长沙     汽车     C301     18             3             9         561       922
长沙     -  深圳     汽车     C301      3            11             8         472       864

深圳     -  长沙     汽车     C302     13            18             8         472       864
长沙     -  重庆     汽车     C302     18             3             9         561       922
重庆     -  成都     汽车     C302      3            11             5         351       504

成都     -  重庆     汽车     C303     19             0             5         351       504
重庆     -  长沙     汽车     C303      0             9             9         561       922
长沙     -  深圳     汽车     C303      9            17             8         472       864

深圳     -  长沙     汽车     C304     19             3             8         472       864
长沙     -  重庆     汽车     C304      3            12             9         561       922
重庆     -  成都     汽车     C304     12            17             5         351       504

呼和浩特 -  北京     汽车     C401     13            18             6         452       659

北京     -  呼和浩特 汽车     C402     23             5             6         452       659

呼和浩特 -  北京     汽车     C403     10            16             6         452       659

北京     -  呼和浩特 汽车     C404     12            18             6         452       659

上海     -  郑州     汽车     C501     16             2            10         591       998
郑州     -  西安     汽车     C501      2             7             5         365       511
西安     -  兰州     汽车     C501      7            14             7         471       676

兰州     -  西安     汽车     C502     11            18             7         471       676
西安     -  郑州     汽车     C502     18            23             5         365       511
郑州     -  上海     汽车     C502     23             6            10         591       998

上海     -  郑州     汽车     C503      8            18            10         591       998
郑州     -  西安     汽车     C503     18            23             5         365       511
西安     -  兰州     汽车     C503     23             6             7         471       676

兰州     -  西安     汽车     C504     17             0             7         471       676
西安     -  郑州     汽车     C504      0             5             5         365       511
郑州     -  上海     汽车     C504      5            15            10         591       998

成都     -  重庆     汽车     C601     20             1             5         351       504
重庆     -  武汉     汽车     C601      1            13            12         727      1289
武汉     -  上海     汽车     C601     13            21             8         512       811

上海     -  武汉     汽车     C602     20             4             8         512       811
武汉     -  重庆     汽车     C602      4            16            12         727      1289
重庆     -  成都     汽车     C602     16            21             5         351       504

成都     -  重庆     汽车     C603      8            13             5         351       504
重庆     -  武汉     汽车     C603     13             1            12         727      1289
武汉     -  上海     汽车     C603      1             9             8         512       811

上海     -  武汉     汽车     C604      8            16             8         512       811
武汉     -  重庆     汽车     C604     16             4            12         727      1289
重庆     -  成都     汽车     C604      4             9             5         351       504
